city,districts,state,Environmental Stance,Latitude,Longitude,aqi,idx,carbon_intensity,temp_f,is_day,wind_mph,wind_degree,pressure_in,precip_in,humidity,cloud,feelslike_f,windchill_f,heatindex_f,dewpoint_f,vis_miles,uv,gust_mph,livability,livability_percentile
Carol Stream,['IL-6'],Illinois,0.0,41.7714,-88.1522,18.0,9535.0,349.0,60.1,1.0,16.1,30.0,29.8,0.02,90.0,100.0,60.1,65.4,66.5,63.1,2.0,5.0,20.6,73.21822943741454,81.17489986648864
Romeoville,['IL-11'],Illinois,97.2222222222222,41.526885,-88.116474,16.0,9640.0,349.0,75.6,1.0,5.6,230.0,29.76,0.02,69.0,100.0,78.9,70.2,72.4,63.8,8.0,5.0,12.9,71.76812227789624,11.882510013351135
Rock Island,['IL-17'],Illinois,97.2222222222222,41.530011,-90.587611,65.0,6913.0,532.0,68.2,1.0,11.9,350.0,29.81,0.01,81.0,100.0,68.2,66.4,66.7,65.6,9.0,5.0,14.5,71.57653127906293,9.612817089452603
Hanover Park,['IL-8'],Illinois,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,16.1,30.0,29.8,0.01,90.0,100.0,60.1,61.1,63.0,62.5,2.0,4.0,20.6,73.56569619182169,85.84779706275033
Carpentersville,['IL-8'],Illinois,0.0,42.2211,-88.2411,26.0,7403.0,349.0,60.1,1.0,16.1,30.0,29.8,0.04,90.0,100.0,60.1,59.0,60.4,58.4,2.0,4.0,20.6,73.35827611373652,82.64352469959947
Wheeling,['WV-1'],West Virginia,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,12.5,40.0,29.82,0.02,83.0,100.0,60.1,59.6,61.2,58.2,9.0,4.0,17.0,73.6328669899549,86.64886515353804
Park Ridge,['IL-9'],Illinois,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,23.0,20.0,29.79,0.02,86.0,100.0,60.1,61.5,63.0,59.5,4.0,4.0,27.5,73.38111670118018,82.9105473965287
Addison,['IL-8'],Illinois,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,23.0,20.0,29.79,0.01,86.0,100.0,60.1,66.1,67.1,62.3,4.0,4.0,27.5,72.79289590608916,69.69292389853138
Calumet City,['IL-2'],Illinois,0.0,41.594427,-87.495044,21.0,10180.0,349.0,76.5,1.0,10.5,250.0,29.75,0.02,63.0,100.0,79.9,68.2,69.0,62.5,9.0,5.0,12.9,73.01248242077212,77.03604806408545
Houston,"['TX-2', 'TX-7', 'TX-9', 'TX-18', 'TX-29']",Texas,75.0,29.686389,-95.294722,41.0,178.0,349.0,91.8,1.0,11.9,150.0,29.86,0.0,41.0,0.0,93.7,94.3,98.4,65.2,6.0,8.0,14.4,71.05184778608232,3.7383177570093453
San Antonio,"['TX-20', 'TX-21', 'TX-23', 'TX-28', 'TX-35']",Texas,49.44444444444444,29.4072945,-98.431251,29.0,186.0,349.0,100.0,1.0,11.9,130.0,29.81,0.0,36.0,0.0,99.0,102.3,102.5,56.4,9.0,9.0,14.7,71.25637673312053,6.942590120160213
Dallas,"['TX-5', 'TX-30', 'TX-32']",Texas,98.61111111111111,32.8200608,-96.8601165,45.0,204.0,349.0,96.1,1.0,15.0,170.0,29.82,0.0,39.0,25.0,100.6,94.4,98.2,64.4,9.0,8.0,15.4,70.9181742485417,1.335113484646195
Austin,"['TX-10', 'TX-17', 'TX-21', 'TX-25', 'TX-35']",Texas,22.77777777777778,30.3544356,-97.7602554,40.0,218.0,349.0,96.1,1.0,11.9,150.0,29.86,0.0,40.0,0.0,94.6,100.9,101.9,58.2,9.0,9.0,13.1,71.06498769564043,3.871829105473965
Fort Worth,"['TX-6', 'TX-12', 'TX-24', 'TX-26']",Texas,2.777777777777777,32.7591432,-97.3423337,40.0,185.0,349.0,96.1,1.0,17.4,180.0,29.82,0.0,36.0,25.0,100.5,94.8,98.8,64.7,9.0,9.0,21.9,71.72317547219151,11.081441922563418
El Paso,['TX-16'],Texas,94.44444444444444,31.7656976,-106.4552204,56.0,208.0,559.0,102.9,1.0,26.6,240.0,29.91,0.0,7.0,75.0,102.3,97.9,95.5,31.0,9.0,9.0,31.1,70.51178169589265,0.13351134846461948
Arlington,['TX-6'],Texas,0.0,32.6563574,-97.0885849,44.0,184.0,349.0,95.7,1.0,15.0,190.0,29.85,0.0,30.0,0.0,99.5,94.9,98.7,64.3,9.0,9.0,16.2,71.97802622140716,21.36181575433912
Corpus Christi,['TX-27'],Texas,0.0,27.8118142,-97.4657005,55.0,211.0,349.0,95.0,1.0,12.5,130.0,29.84,0.0,54.0,50.0,107.3,89.2,95.5,69.7,9.0,8.0,18.8,71.94948642696242,20.29372496662216
Plano,['TX-3'],Texas,0.0,32.8200608,-96.8601165,45.0,204.0,349.0,97.3,1.0,9.4,190.0,29.85,0.0,33.0,0.0,103.9,93.6,97.8,64.9,9.0,8.0,17.5,72.08872130952739,30.97463284379172
Laredo,['TX-28'],Texas,63.888888888888886,28.704607,-100.4511555,27.0,223.0,349.0,100.0,1.0,12.5,140.0,29.8,0.0,36.0,0.0,98.2,104.4,105.2,55.1,9.0,10.0,17.0,71.28405709998236,7.209612817089453
Lubbock,['TX-19'],Texas,0.0,33.58553,-101.78698,18.0,9152.0,349.0,97.0,1.0,16.1,180.0,29.86,0.0,27.0,75.0,94.2,97.3,94.8,47.2,9.0,9.0,16.7,72.47436923167425,58.87850467289719
